DS,NG CONS EGAT,NG CONS GSP,NG CONS IPP,NG CONS Industry,NG CONS NGV,NG CONS SPP,NG PRD Domestic,NG PRD Import,POWGEN DEDP,POWGEN EGAT,POWGEN IPP,POWGEN Import,POWGEN SPP,POWGEN VSPP
1986-04-30,237.0,79.0,0.0,16.0,0.0,0.0,352.0,0.0,0.0,2121.74,0.0,33.79,0.0,0.0
1986-08-31,227.0,65.0,0.0,6.0,0.0,0.0,322.0,0.0,0.0,2107.640000000001,0.0,91.24,0.0,0.0
1986-12-31,271.0,77.0,0.0,7.0,0.0,0.0,379.0,0.0,0.0,2050.54,0.0,43.0,0.0,0.0
1986-02-28,235.0,74.0,0.0,12.0,0.0,0.0,350.0,0.0,0.0,1761.38,0.0,52.14,0.0,0.0
1986-01-31,251.0,75.0,0.0,13.0,0.0,0.0,370.0,0.0,0.0,1841.52,0.0,57.0,0.0,0.0
1986-07-31,232.0,65.0,0.0,6.0,0.0,0.0,331.0,0.0,0.0,2086.4300000000007,0.0,92.74,0.0,0.0
1986-06-30,248.0,61.0,0.0,13.0,0.0,0.0,343.0,0.0,0.0,2118.91,0.0,65.32,0.0,0.0
1986-03-31,255.0,82.0,0.0,19.0,0.0,0.0,373.0,0.0,0.0,2093.57,0.0,41.86,0.0,0.0
1986-05-31,254.0,76.0,0.0,11.0,0.0,0.0,362.0,0.0,0.0,2105.07,0.0,47.28,0.0,0.0
1986-11-30,269.0,60.0,0.0,6.0,0.0,0.0,357.0,0.0,0.0,2089.13,0.0,61.92,0.0,0.0
1986-10-31,252.0,75.0,0.0,4.0,0.0,0.0,354.0,0.0,0.0,2201.67,0.0,75.31,0.0,0.0
1986-09-30,216.0,63.0,0.0,4.0,0.0,0.0,308.0,0.0,0.0,2092.21,0.0,96.78,0.0,0.0
1987-04-30,336.0,68.0,0.0,4.0,0.0,0.0,438.0,0.0,0.0,2414.9500000000007,0.0,34.66,0.0,0.0
1987-08-31,392.0,78.0,0.0,4.0,0.0,0.0,515.0,0.0,0.0,2519.51,0.0,24.92,0.0,0.0
1987-12-31,377.0,79.0,0.0,5.0,0.0,0.0,505.0,0.0,0.96,2223.7700000000004,0.0,64.95,0.0,0.0
1987-02-28,317.0,80.0,0.0,4.0,0.0,0.0,429.0,0.0,0.0,2056.93,0.0,33.13,0.0,0.0
1987-01-31,283.0,80.0,0.0,6.0,0.0,0.0,398.0,0.0,0.0,2086.48,0.0,39.23,0.0,0.0
1987-07-31,402.0,78.0,0.0,4.0,0.0,0.0,523.0,0.0,0.0,2528.32,0.0,17.9,0.0,0.0
1987-06-30,434.0,77.0,0.0,4.0,0.0,0.0,557.0,0.0,0.0,2434.57,0.0,31.82,0.0,0.0
1987-03-31,331.0,79.0,0.0,5.0,0.0,0.0,443.0,0.0,0.0,2440.620000000001,0.0,31.59,0.0,0.0
1987-05-31,371.0,48.0,0.0,5.0,0.0,0.0,462.0,0.0,0.0,2498.87,0.0,29.97,0.0,0.0
1987-11-30,432.0,35.0,0.0,5.0,0.0,0.0,512.0,0.0,1.39,2419.25,0.0,50.73,0.0,0.0
1987-10-31,431.0,46.0,0.0,5.0,0.0,0.0,525.0,0.0,2.57,2505.54,0.0,48.21,0.0,0.0
1987-09-30,441.0,79.0,0.0,3.0,0.0,0.0,565.0,0.0,0.0,2439.88,0.0,8.34,0.0,0.0
1988-04-30,435.0,74.0,0.0,7.0,0.0,0.0,554.0,0.0,0.54,2747.52,0.0,28.99,0.0,0.0
1988-08-31,471.0,69.0,0.0,6.0,0.0,0.0,594.0,0.0,8.95,2813.2000000000007,0.0,44.71,0.0,0.0
1988-12-31,447.0,81.0,0.0,9.0,0.0,0.0,583.0,0.0,1.47,2631.370000000001,0.0,33.55,0.0,0.0
1988-02-29,446.0,77.0,0.0,6.0,0.0,0.0,575.0,0.0,1.24,2426.84,0.0,43.73,0.0,0.0
1988-01-31,425.0,77.0,0.0,4.0,0.0,0.0,549.0,0.0,1.55,2429.04,0.0,43.13,0.0,0.0
1988-07-31,447.0,78.0,0.0,7.0,0.0,0.0,580.0,0.0,7.26,2768.09,0.0,31.19,0.0,0.0
1988-06-30,470.0,77.0,0.0,7.0,0.0,0.0,603.0,0.0,1.74,2726.34,0.0,32.51,0.0,0.0
1988-03-31,435.0,78.0,0.0,7.0,0.0,0.0,567.0,0.0,0.54,2865.9500000000007,0.0,29.84,0.0,0.0
1988-05-31,449.0,79.0,0.0,7.0,0.0,0.0,581.0,0.0,0.16,2756.47,0.0,26.89,0.0,0.0
1988-11-30,460.0,58.0,0.0,7.0,0.0,0.0,566.0,0.0,1.86,2598.06,0.0,39.05,0.0,0.0
1988-10-31,468.0,72.0,0.0,9.0,0.0,0.0,593.0,0.0,2.13,2815.2700000000004,0.0,40.68,0.0,0.0
1988-09-30,469.0,65.0,0.0,8.0,0.0,0.0,592.0,0.0,2.75,2804.9,0.0,35.51,0.0,0.0
1989-04-30,452.0,80.0,0.0,8.0,0.0,0.0,586.0,0.0,0.59,3173.42,0.0,28.85,0.0,0.0
1989-08-31,467.0,36.0,0.0,9.0,0.0,0.0,572.0,0.0,2.23,3227.71,0.0,66.61,0.0,0.0
1989-12-31,439.0,99.0,0.0,12.0,0.0,0.0,609.0,0.0,0.92,3039.34,0.0,81.51,0.0,0.0
1989-02-28,437.0,74.0,0.0,11.0,0.0,0.0,565.0,0.0,0.67,2642.53,0.0,25.21,0.0,0.0
1989-01-31,447.0,81.0,0.0,9.0,0.0,0.0,591.0,0.0,0.75,2893.2300000000005,0.0,27.07,0.0,0.0
1989-07-31,498.0,4.0,0.0,9.0,0.0,0.0,570.0,0.0,1.87,3184.59,0.0,56.55,0.0,0.0
1989-06-30,494.0,20.0,0.0,9.0,0.0,0.0,587.0,0.0,1.47,3136.1,0.0,38.09,0.0,0.0
1989-03-31,441.0,79.0,0.0,11.0,0.0,0.0,584.0,0.0,0.63,3175.61,0.0,27.94,0.0,0.0
1989-05-31,477.0,23.0,0.0,8.0,0.0,0.0,564.0,0.0,0.88,3274.24,0.0,28.44,0.0,0.0
1989-11-30,429.0,85.0,0.0,11.0,0.0,0.0,584.0,0.0,1.42,3153.99,0.0,84.79,0.0,0.0
1989-10-31,485.0,25.0,0.0,9.0,0.0,0.0,578.0,0.0,3.34,3265.9700000000007,0.0,80.99,0.0,0.0
1989-09-30,489.0,0.0,0.0,9.0,0.0,0.0,559.0,0.0,2.34,3364.340000000002,0.0,66.05,0.0,0.0
1990-04-30,445.0,89.0,0.0,14.0,0.0,0.0,613.0,0.0,1.39,3668.691,0.0,39.76,0.0,0.0
1990-08-31,445.0,102.0,0.0,17.0,0.0,0.0,630.0,0.0,3.81,3851.6209999999996,0.0,64.41,0.0,0.0
1990-12-31,468.0,113.0,0.0,32.0,0.0,0.0,692.0,0.0,0.77,3594.2709999999997,0.0,60.21,0.0,0.0
1990-02-28,440.0,88.0,0.0,14.0,0.0,0.0,616.0,0.0,0.843,3271.4320000000002,0.0,51.83,0.0,0.0
1990-01-31,434.0,85.0,0.0,14.0,0.0,0.0,596.0,0.0,0.95,3341.6209999999996,0.0,67.57,0.0,0.0
1990-07-31,436.0,99.0,0.0,15.0,0.0,0.0,616.0,0.0,3.79,3747.001,0.0,56.34,0.0,0.0
1990-06-30,443.0,95.0,0.0,16.0,0.0,0.0,629.0,0.0,3.08,3771.9110000000014,0.0,48.59,0.0,0.0
1990-03-31,448.0,86.0,0.0,14.0,0.0,0.0,616.0,0.0,1.27,3755.4309999999996,0.0,48.2,0.0,0.0
1990-05-31,459.0,71.0,0.0,15.0,0.0,0.0,610.0,0.0,2.36,3842.371000000001,0.0,32.66,0.0,0.0
1990-11-30,493.0,114.0,0.0,20.0,0.0,0.0,644.0,0.0,1.29,3705.591,0.0,56.41,0.0,0.0
1990-10-31,449.0,117.0,0.0,19.0,0.0,0.0,657.0,0.0,1.63,3802.162,0.0,65.95,0.0,0.0
1990-09-30,469.0,105.0,0.0,19.0,0.0,0.0,652.0,0.0,2.8,3736.423,0.0,60.39,0.0,0.0
1991-04-30,597.0,80.0,0.0,20.0,0.0,0.0,781.0,0.0,3.46,4094.511,0.0,55.24,0.0,0.0
1991-08-31,597.0,120.0,0.0,24.0,0.0,0.0,814.0,0.0,0.98,4275.792,0.0,85.75,0.0,0.0
1991-12-31,521.0,123.0,0.0,27.0,0.0,0.0,741.0,0.0,1.95,4140.752,0.0,25.0,0.0,0.0
1991-02-28,535.0,114.0,0.0,30.0,0.0,0.0,796.0,0.0,1.05,3496.2909999999997,0.0,42.69,0.0,0.0
1991-01-31,508.0,114.0,0.0,34.0,0.0,0.0,734.0,0.0,0.79,3922.171,0.0,40.98,0.0,0.0
1991-07-31,599.0,108.0,0.0,22.0,0.0,0.0,806.0,0.0,1.1,4351.882000000001,0.0,69.66,0.0,0.0
1991-06-30,651.0,18.0,0.0,21.0,0.0,0.0,756.0,0.0,2.92,4228.771000000002,0.0,40.22,0.0,0.0
1991-03-31,614.0,99.0,0.0,21.0,0.0,0.0,818.0,0.0,1.4,4347.602,0.0,41.99,0.0,0.0
1991-05-31,634.0,61.0,0.0,19.0,0.0,0.0,795.0,0.0,1.89,4431.011,0.0,35.24,0.0,0.0
1991-11-30,560.0,116.0,0.0,25.0,0.0,0.0,778.0,0.0,3.01,4124.642000000002,0.0,49.49,0.0,0.0
1991-10-31,553.0,116.0,0.0,24.0,0.0,0.0,779.0,0.0,6.74,4374.840999999999,0.0,50.27,0.0,0.0
1991-09-30,585.0,111.0,0.0,24.0,0.0,0.0,795.0,0.0,3.36,4303.471,0.0,56.58,0.0,0.0
1992-04-30,591.0,114.0,0.0,31.0,0.0,0.0,795.0,0.0,1.973,4860.844,0.0,29.11,0.0,0.0
1992-08-31,655.0,118.0,0.0,34.0,0.0,0.0,874.0,0.0,0.59,4901.993,0.0,75.4,0.0,0.0
1992-12-31,667.0,126.0,0.0,37.0,0.0,0.0,912.0,0.0,1.52,4703.212,0.0,19.73,0.0,0.0
1992-02-29,542.0,101.0,0.0,31.0,0.0,0.0,750.0,0.0,1.78,4162.0,0.0,35.23,0.0,0.0
1992-01-31,525.0,117.0,0.0,26.0,0.0,0.0,740.0,0.0,1.59,4206.190000000001,0.0,23.44,0.0,0.0
1992-07-31,617.0,118.0,0.0,34.0,0.0,0.0,836.0,0.0,0.5,4936.922000000001,0.0,69.72,0.0,0.0
1992-06-30,608.0,115.0,0.0,36.0,0.0,0.0,839.0,0.0,0.38,4856.64,0.0,46.55,0.0,0.0
1992-03-31,536.0,103.0,0.0,33.0,0.0,0.0,740.0,0.0,1.76,4905.853000000001,0.0,21.034000000000002,0.0,0.0
1992-05-31,617.0,94.0,0.0,33.0,0.0,0.0,816.0,0.0,1.57,5066.5520000000015,0.0,34.38,0.0,0.0
1992-11-30,659.0,126.0,0.0,38.0,0.0,0.0,905.0,0.0,2.19,4618.516000000001,0.0,27.64,0.0,0.0
1992-10-31,642.0,107.0,0.0,37.0,0.0,0.0,863.0,0.0,3.62,4856.032,0.0,47.083999999999996,0.0,0.0
1992-09-30,682.0,122.0,0.0,34.0,0.0,0.0,908.0,0.0,2.24,4933.683999999998,0.0,50.58,0.0,0.0
1993-04-30,709.0,122.0,0.0,38.0,0.0,0.0,941.0,0.0,1.669,5200.960999999999,0.0,24.685,0.0,0.0
1993-08-31,642.0,142.0,0.0,43.0,0.0,0.0,875.0,0.0,2.66,5329.377,0.0,116.289,0.0,0.0
1993-12-31,682.0,134.0,0.0,42.0,0.0,0.0,946.0,0.0,1.27,5074.544,0.0,49.06,0.0,0.0
1993-02-28,722.0,121.0,0.0,39.0,0.0,0.0,978.0,0.0,1.446,4610.478,0.0,15.832,0.0,0.0
1993-01-31,657.0,126.0,0.0,37.0,0.0,0.0,902.0,0.0,1.621,4696.914000000002,0.0,22.758000000000003,0.0,0.0
1993-07-31,690.0,125.0,0.0,42.0,0.0,0.0,944.0,0.0,1.99,5682.4490000000005,0.0,77.836,0.0,0.0
1993-06-30,717.0,127.0,0.0,44.0,0.0,0.0,956.0,0.0,1.795,5463.168000000001,0.0,45.453,0.0,0.0
1993-03-31,712.0,110.0,0.0,39.0,0.0,0.0,945.0,0.0,1.6219999999999999,5465.724,0.0,20.703000000000003,0.0,0.0
1993-05-31,706.0,128.0,0.0,41.0,0.0,0.0,956.0,0.0,2.102,5619.727000000001,0.0,31.914,0.0,0.0
1993-11-30,686.0,134.0,0.0,51.0,0.0,0.0,947.0,0.0,2.9339999999999997,5328.389000000001,0.0,37.278,0.0,0.0
1993-10-31,696.0,129.0,0.0,40.0,0.0,0.0,938.0,0.0,4.725,5500.821999999999,0.0,82.616,0.0,0.0
1993-09-30,705.0,133.0,0.0,35.0,0.0,0.0,946.0,0.0,4.422,5336.52,0.0,120.09200000000001,0.0,0.0
1994-04-30,750.0,116.0,0.0,44.0,0.0,0.0,988.0,0.0,2.174,5894.1230000000005,0.0,42.141000000000005,1.484,0.0
1994-08-31,820.0,132.0,0.0,58.0,0.0,0.0,1096.0,0.0,7.172999999999999,6048.826,0.0,116.486,0.0,0.0
1994-12-31,814.0,129.0,0.0,65.0,0.0,0.0,1103.0,0.0,0.742,5469.4670000000015,564.627,60.388000000000005,7.785,0.0
1994-02-28,737.0,128.0,0.0,47.0,0.0,0.0,976.0,0.0,1.643,5242.516,0.0,42.803999999999995,0.252,0.0
1994-01-31,692.0,130.0,0.0,41.0,0.0,0.0,947.0,0.0,1.6980000000000002,5413.276,0.0,47.306999999999995,0.061,0.0
1994-07-31,815.0,131.0,0.0,52.0,0.0,0.0,1085.0,0.0,3.147,5995.103,0.0,103.992,0.04,0.0
1994-06-30,791.0,107.0,0.0,55.0,0.0,0.0,1035.0,0.0,1.806,6002.001000000001,0.0,60.647,0.10800000000000001,0.0
1994-03-31,793.0,32.0,0.0,50.0,0.0,0.0,948.0,0.0,1.886,6052.678999999999,0.0,47.606,1.247,0.0
1994-05-31,734.0,118.0,0.0,51.0,0.0,0.0,985.0,0.0,1.9269999999999998,6205.736999999999,0.0,50.381,1.078,0.0
1994-11-30,828.0,130.0,0.0,71.0,0.0,0.0,1109.0,0.0,1.069,6058.627,0.0,64.505,0.612,0.0
1994-10-31,819.0,127.0,0.0,53.0,0.0,0.0,1087.0,0.0,4.489,6057.414000000001,0.0,113.87,0.158,0.0
1994-09-30,805.0,131.0,0.0,59.0,0.0,0.0,1089.0,0.0,8.762,6048.221000000001,0.0,120.68799999999999,0.47600000000000003,0.0
1995-04-30,778.0,122.0,0.0,61.0,0.0,0.0,1074.0,0.0,1.7819999999999998,5950.0920000000015,697.847,38.78,16.564,0.0
1995-08-31,849.0,95.0,0.0,65.0,0.0,0.0,1113.0,0.0,3.073,6166.344,736.717,93.07,16.255,0.0
1995-12-31,774.0,123.0,0.0,86.0,0.0,0.0,1120.0,0.0,0.589,5576.503000000001,687.959,55.126999999999995,52.854,0.0
1995-02-28,805.0,127.0,0.0,67.0,0.0,0.0,1117.0,0.0,0.863,5044.941,649.606,46.852,16.708,0.0
1995-01-31,800.0,129.0,0.0,68.0,0.0,0.0,1098.0,0.0,0.642,5256.183000000001,702.3430000000001,44.81,10.007,0.0
1995-07-31,819.0,88.0,0.0,63.0,0.0,0.0,1086.0,0.0,3.4210000000000003,6149.996,753.179,54.341,7.166,0.0
1995-06-30,781.0,112.0,0.0,68.0,0.0,0.0,1063.0,0.0,3.069,6277.339999999998,684.255,41.035,8.606,0.0
1995-03-31,813.0,125.0,0.0,70.0,0.0,0.0,1122.0,0.0,1.4580000000000002,6314.819,734.505,40.29,16.97,0.0
1995-05-31,774.0,121.0,0.0,71.0,0.0,0.0,1077.0,0.0,1.8519999999999999,6421.980000000001,654.455,39.004,7.371,0.0
1995-11-30,799.0,123.0,0.0,94.0,0.0,0.0,1115.0,0.0,0.57,5860.138999999999,700.362,57.684,41.766999999999996,0.0
1995-10-31,809.0,113.0,0.0,82.0,0.0,0.0,1122.0,0.0,2.3040000000000003,6078.1709999999985,717.669,83.29799999999999,45.653999999999996,0.0
1995-09-30,812.0,96.0,0.0,79.0,0.0,0.0,1081.0,0.0,6.381,6000.298000000002,633.847,104.83,21.730999999999998,0.0
1996-04-30,816.0,122.0,0.0,78.0,0.0,50.0,1188.0,0.0,1.8430000000000002,6434.959999999999,748.118,33.806999999999995,83.963,0.0
1996-08-31,881.0,121.0,0.0,77.0,0.0,60.0,1249.0,0.0,5.848,6428.43,1075.851,99.189,105.43700000000001,0.0
1996-12-31,984.0,132.0,0.0,74.0,0.0,89.0,1403.0,0.0,0.9390000000000001,5620.154,974.2239999999999,85.641,154.77700000000002,0.0
1996-02-29,743.0,128.0,0.0,76.0,0.0,42.0,1091.0,0.0,1.804,5633.290999999998,681.743,43.773999999999994,68.559,0.0
1996-01-31,762.0,130.0,0.0,63.0,0.0,43.0,1106.0,0.0,0.621,5927.781,670.057,40.475,74.847,0.0
1996-07-31,920.0,131.0,0.0,80.0,0.0,57.0,1295.0,0.0,1.9169999999999998,6312.934999999999,1171.038,64.617,100.137,0.0
1996-06-30,897.0,126.0,0.0,90.0,0.0,54.0,1250.0,0.0,2.105,6462.625000000001,811.812,54.63,91.73299999999999,0.0
1996-03-31,772.0,65.0,0.0,62.0,0.0,43.0,1094.0,0.0,1.989,6779.135,759.3389999999999,35.376999999999995,75.10300000000001,0.0
1996-05-31,868.0,121.0,0.0,95.0,0.0,52.0,1264.0,0.0,1.868,6828.194,726.5369999999999,38.915,90.13,0.0
1996-11-30,1038.0,133.0,0.0,82.0,0.0,85.0,1469.0,0.0,0.753,6147.598000000001,955.26,81.433,143.358,0.0
1996-10-31,1036.0,131.0,0.0,74.0,0.0,80.0,1453.0,0.0,2.3930000000000002,6289.536,1125.421,113.679,139.44899999999998,0.0
1996-09-30,932.0,130.0,0.0,85.0,0.0,62.0,1327.0,0.0,4.091,6137.161999999998,1031.3339999999998,114.069,105.43299999999999,0.0
1997-04-30,1070.0,123.0,0.0,90.0,0.0,82.0,1448.0,0.0,1.9069999999999998,6312.161999999998,1124.5819999999999,43.659,174.89700000000002,0.0
1997-08-31,1149.0,169.0,0.0,100.0,0.0,77.0,1627.0,0.0,8.156,6469.097,1293.993,99.792,169.49200000000002,0.0
1997-12-31,1139.0,158.0,0.0,97.0,0.0,102.0,1604.0,0.0,0.629,5858.398,1193.129,51.865,223.44400000000002,0.0
1997-02-28,1075.0,146.0,0.0,106.0,0.0,73.0,1507.0,0.0,1.1079999999999999,5781.334000000002,1018.5210000000001,40.476,146.006,0.0
1997-01-31,1027.0,134.0,0.0,98.0,0.0,75.0,1485.0,0.0,1.245,5795.009999999998,1132.288,45.756,165.085,0.0
1997-07-31,1157.0,155.0,0.0,98.0,0.0,76.0,1618.0,0.0,1.714,6703.785,1244.427,69.28,168.217,0.0
1997-06-30,1168.0,167.0,0.0,97.0,0.0,80.0,1636.0,0.0,1.34,6930.075000000002,1179.848,42.257,170.31099999999998,0.0
1997-03-31,1072.0,151.0,0.0,91.0,0.0,76.0,1521.0,0.0,1.682,6857.684,1235.992,32.406,168.06400000000002,0.0
1997-05-31,1145.0,78.0,0.0,80.0,0.0,84.0,1467.0,0.0,1.9380000000000002,7126.357999999998,1186.838,44.016000000000005,185.77200000000002,0.0
1997-11-30,1154.0,162.0,0.0,103.0,0.0,90.0,1627.0,0.0,0.6559999999999999,5873.219,1211.39,66.286,191.31400000000002,0.0
1997-10-31,1143.0,160.0,0.0,95.0,0.0,90.0,1630.0,0.0,2.32,6357.567000000001,1185.09,105.17200000000001,197.292,0.0
1997-09-30,1124.0,150.0,0.0,103.0,0.0,90.0,1594.0,0.0,4.49,6263.892,1148.518,104.663,191.00099999999998,0.0
1998-04-30,985.0,145.0,0.0,94.0,0.0,122.0,1503.0,0.0,1.4180000000000001,6340.649,1157.9589999999998,92.214,234.571,0.0
1998-08-31,1187.0,152.0,0.0,83.0,0.0,138.0,1763.0,10.0,2.258,6157.045000000001,1099.256,151.91,231.21599999999998,0.0
1998-12-31,1123.0,172.0,0.0,124.0,0.0,180.0,1706.0,3.0,0.743,5447.518999999998,942.2689999999999,140.71,310.682,0.0
1998-02-28,1156.0,157.0,0.0,93.0,0.0,117.0,1642.0,0.0,0.87,5789.829000000001,1104.667,102.902,223.01,0.0
1998-01-31,1097.0,163.0,0.0,80.0,0.0,104.0,1504.0,0.0,0.9670000000000001,5675.873000000001,1237.7169999999999,71.987,240.59799999999998,0.0
1998-07-31,1138.0,147.0,0.0,74.0,0.0,143.0,1739.0,0.0,1.544,6271.161,1099.905,197.53,243.05,0.0
1998-06-30,1147.0,156.0,0.0,94.0,0.0,143.0,1734.0,0.0,1.4069999999999998,6317.4569999999985,1122.347,181.123,229.21900000000002,0.0
1998-03-31,1195.0,155.0,0.0,86.0,0.0,99.0,1688.0,0.0,1.5219999999999998,6764.629000000001,1234.638,87.181,243.702,0.0
1998-05-31,1125.0,151.0,0.0,90.0,0.0,138.0,1730.0,0.0,1.329,6691.544999999999,1190.193,101.40299999999999,259.39599999999996,0.0
